cluster	n_cells	intestinal_score_mean	diffuse_score_mean	intestinal_fraction	diffuse_fraction	assigned_pole
0	317	-0.570887867532388	0.653425192825441	0.0157728706624606	0.984227129337539	Diffuse cells
1	252	1.49299286856365	-1.26514037748954	0.996031746031746	0.00396825396825397	Intestinal cells
2	219	-0.517059367295711	0.124112607648818	0.118721461187215	0.881278538812785	Diffuse cells
3	190	-0.288838319378897	-0.0678490794207167	0.189473684210526	0.810526315789474	Diffuse cells
4	174	-0.58416065696025	0.0102112279675445	0.103448275862069	0.896551724137931	Diffuse cells
5	62	0.720948551407648	-1.07423784627986	1	0	Intestinal cells
6	56	1.27822261918557	-1.26638410624652	1	0	Intestinal cells
7	41	-0.572286334772432	0.809294547895427	0	1	Diffuse cells
8	30	-0.301936030186131	-0.311111954833566	0.366666666666667	0.633333333333333	Diffuse cells
9	30	-0.555659965039351	0.260789304053528	0.0333333333333333	0.966666666666667	Diffuse cells
10	22	-0.579752746717993	0.0197447331143714	0.0454545454545455	0.954545454545455	Diffuse cells
11	15	-0.510375669123984	0.50644575248704	0.0666666666666667	0.933333333333333	Diffuse cells
